Customer Id,Date,Product
JKML5ZWXP0XQ,2020-07-20,tropical fruit
YOGWQIUPDAJ7,2020-04-30,whole milk
Q3NL22281AF6,2020-09-18,pip fruit
C59GRTLMZQAU,2020-12-11,other vegetables
WUSF8LTEQZ5L,2020-01-02,whole milk
MICEEAEQ9LX5,2020-02-14,rolls/buns
XBIAXE6PVLF7,2020-08-04,other vegetables
QJ7BSEZEXTDA,2020-12-22,pot plants
QAIAGD5XA9EW,2020-03-19,whole milk
QXH9SBEFLTPU,2020-12-01,tropical fruit
631LMQWD7TI3,2020-02-24,citrus fruit
LWPOQ0DSOK8W,2020-04-13,beef
JVGW5LAXQ4XJ,2020-03-08,chicken
YREUD7Q8WRFH,2020-07-20,butter
5PA8L41ERU4H,2020-03-29,fruit/vegetable juice
ILRK16Z152DV,2020-03-04,packaged fruit/vegetables
WKKA9LMIYHN3,2020-02-09,chocolate
YVAVKVHY7JJF,2020-03-07,specialty bar
S0DI41Z183KZ,2020-07-06,other vegetables
FLUJI1KLVGJ9,2020-08-08,butter milk
KUZE2BB7P14K,2020-12-10,whole milk
4CI0JEUDPL0D,2020-09-17,tropical fruit
WDX8UVG6H10R,2020-11-29,tropical fruit
02IUM6MABVTH,2020-07-16,bottled water
I8TCYULKDOLL,2020-12-05,yogurt
18X4SF8JKYY2,2020-02-13,sausage
CON20325PUM6,2020-01-14,other vegetables
IVMLFZUPB8OL,2020-08-02,brown bread
U2N3LHNI8G7W,2020-01-27,yogurt
UDE0EZZA9K1Q,2020-10-21,hamburger meat
VYI2ORCDZO37,2020-10-25,root vegetables
KGVX3PB4Y9VA,2020-03-09,beef
EG54K618NNVC,2020-11-03,pastry
S0DI41Z183KZ,2020-02-21,fruit/vegetable juice
36CYK2UJVKFM,2020-08-31,root vegetables
0942TE5T8N2L,2020-03-03,citrus fruit
5P7WZC62773F,2020-04-19,sausage
ZQH0L836USTE,2020-04-07,tropical fruit
